pars,period,Method,GRAND_ID,nrmse_stor,nrmse_release,kge_stor,kge_release,pbias_stor,pbias_release,nse_stor,nse_release,r2_stor,r2_release
default,Fitting,rulebasedloc200,55,91.5,92,0.587521365813825,0.5130089101099322,30.6,-0.9,0.1630496070508889,0.1541305828392584,0.5260268508067506,0.27868997561450415
default,Fitting,sdp,55,131.6,111.7,0.1290434226224051,0.20099566319967332,58.8,-1.7,-0.7309984117212798,-0.2484131886408696,0.44366813722924114,0.05370222167226301
default,Fitting,starfit,55,69,85.8,0.7520843188417194,0.5762623871953602,-13.1,10.5,0.5231422762865774,0.26382454804802435,0.6588551875613441,0.3620010762835119
fitted,Evaluation,gdrom,55,41.6,67.8,0.8733074391684196,0.7361555031261526,-9.1,1.1,0.8268929289132932,0.5402251777229855,0.8690739996405481,0.5654789508482225
fitted,Evaluation,h06,55,49.8,64.1,0.7394407964942404,0.5363823621857681,-10.1,0.9,0.7514564747757685,0.5891372251052278,0.8192053125196009,0.6346557393514208
fitted,Evaluation,natlake,55,72.8,83.3,0.4205674563703462,0.2297031895811581,-9,0.6,0.4701419005050921,0.30606213131114823,0.6050830412542856,0.40752888717727004
fitted,Evaluation,rulebasedloc200,55,35.5,48.8,0.8586499202741523,0.8555838619204696,-8.9,0.7,0.8737010370768091,0.7621350880340001,0.9176247574952835,0.7650846730739141
fitted,Evaluation,sdp,55,43.5,57.4,0.816042605449197,0.5848238010162001,9,-0.4,0.8107234204332999,0.6704286298355395,0.8565205835233848,0.72931292634877
fitted,Evaluation,starfit,55,65.6,56.8,0.7588857809481169,0.7860401251885374,-18.6,5.4,0.5695247367751608,0.6768088173954281,0.7934577163270514,0.6829033941820759
fitted,Fitting,gdrom,55,74.3,89.2,0.7105980928714266,0.546451419888244,-6.1,0.1,0.44722148736894574,0.20409636052294577,0.5180891563050601,0.3134438885727992
fitted,Fitting,h06,55,52.6,80.1,0.7840201890286191,0.43301221164724735,0.3,0,0.722786104514079,0.3587435331352782,0.7228463133744066,0.35874363060098247
fitted,Fitting,natlake,55,69.8,89.4,0.4325117228481522,0.15907323936244,0.9,-0.1,0.5128469404863474,0.2009129644197718,0.6007265179195739,0.21205356654147586
fitted,Fitting,rulebasedloc200,55,57.2,86.3,0.7759273924767318,0.5762229988484305,-1,-0.1,0.6731305498646067,0.255299334268125,0.6753032793200634,0.3477861850227096
fitted,Fitting,sdp,55,65.4,78.9,0.7317897581395991,0.43861649778331535,6.5,-0.2,0.5724220612745183,0.37782255932121134,0.5965181888069273,0.3783949566533552
